director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Steven Soderbergh,Michael O'Neill,Jacob Vargas,James Lew,Crime Drama Thriller,traffic,Crime Drama Thriller Michael O'NeillJacob Vargas James Lew traffic Steven Soderbergh
Steven Spielberg,Harrison Ford,Julian Glover,Alison Doody,Action Adventure Fantasy,indiana jones and the last crusade,Action Adventure Fantasy Harrison FordJulian Glover Alison Doody indiana jones and the last crusade Steven Spielberg
Joe Wright,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,Drama Romance,anna karenina,Drama Romance Kelly MacdonaldGuro Nagelhus Schia Matthew Macfadyen anna karenina Joe Wright
Neill Blomkamp,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,Action Crime Drama Sci-Fi Thriller,chappie,Action Crime Drama Sci-Fi Thriller Hugh JackmanSharlto Copley Jose Pablo Cantillo chappie Neill Blomkamp
Phillip Noyce,Denzel Washington,Angelina Jolie Pitt,Leland Orser,Crime Drama Mystery Thriller,the bone collector,Crime Drama Mystery Thriller Denzel WashingtonAngelina Jolie Pitt Leland Orser the bone collector Phillip Noyce
David Fincher,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,Crime Drama Thriller,panic room,Crime Drama Thriller Kristen StewartDwight Yoakam Mel Rodriguez panic room David Fincher
Chuck Bowman,P.J. Soles,Lochlyn Munro,Steve Bacic,Horror Thriller,the tooth fairy,Horror Thriller P.J. SolesLochlyn Munro Steve Bacic the tooth fairy Chuck Bowman
David O. Russell,Judy Greer,Jamie Kennedy,Mykelti Williamson,Action Adventure Comedy Drama War,three kings,Action Adventure Comedy Drama War Judy GreerJamie Kennedy Mykelti Williamson three kings David O. Russell
Daniel Espinosa,Tom Hardy,Fares Fares,Michael Nardone,Crime Drama Thriller,child 44,Crime Drama Thriller Tom HardyFares Fares Michael Nardone child 44 Daniel Espinosa
Jerry Zucker,Corinna Harney,Douglas Haase,Vince Vieluf,Adventure Comedy,rat race,Adventure Comedy Corinna HarneyDouglas Haase Vince Vieluf rat race Jerry Zucker
Iain Softley,Kevin Spacey,Jeff Bridges,Alfre Woodard,Drama Mystery Sci-Fi,k-pax,Drama Mystery Sci-Fi Kevin SpaceyJeff Bridges Alfre Woodard k-pax Iain Softley
James Mangold,Hugh Jackman,Natasha Lyonne,Bradley Whitford,Comedy Fantasy Romance,kate & leopold,Comedy Fantasy Romance Hugh JackmanNatasha Lyonne Bradley Whitford kate & leopold James Mangold
Harold Ramis,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,Comedy Fantasy Romance,bedazzled,Comedy Fantasy Romance Brendan FraserFrances O'Connor Brian Doyle-Murray bedazzled Harold Ramis
Francis Ford Coppola,Nicolas Cage,Bob Hoskins,Fred Gwynne,Crime Drama Music,the cotton club,Crime Drama Music Nicolas CageBob Hoskins Fred Gwynne the cotton club Francis Ford Coppola
James Mangold,Christian Bale,Logan Lerman,Gretchen Mol,Adventure Crime Drama Western,3:10 to yuma,Adventure Crime Drama Western Christian BaleLogan Lerman Gretchen Mol 3:10 to yuma James Mangold
Olivier Megaton,Liam Neeson,Dougray Scott,Jon Gries,Action Thriller,taken 3,Action Thriller Liam NeesonDougray Scott Jon Gries taken 3 Olivier Megaton
Steven Soderbergh,Don Cheadle,Albert Brooks,Keith Hudson,Crime Drama Romance Thriller,out of sight,Crime Drama Romance Thriller Don CheadleAlbert Brooks Keith Hudson out of sight Steven Soderbergh
Ben Stiller,Matthew Broderick,Janeane Garofalo,Andy Dick,Comedy Drama Thriller,the cable guy,Comedy Drama Thriller Matthew BroderickJaneane Garofalo Andy Dick the cable guy Ben Stiller
Deepa Mehta,Nandita Das,Gulshan Grover,Eric Peterson,Drama Romance War,earth,Drama Romance War Nandita DasGulshan Grover Eric Peterson earth Deepa Mehta
Warren Beatty,Charlie Korsmo,Warren Beatty,Seymour Cassel,Action Comedy Crime Music Romance Thriller,dick tracy,Action Comedy Crime Music Romance Thriller Charlie KorsmoWarren Beatty Seymour Cassel dick tracy Warren Beatty
John McTiernan,Mark Margolis,Faye Dunaway,Denis Leary,Crime Romance Thriller,the thomas crown affair,Crime Romance Thriller Mark MargolisFaye Dunaway Denis Leary the thomas crown affair John McTiernan
Penny Marshall,Rosie Perez,Adam Garcia,Alissa Dean,Biography Comedy Drama,riding in cars with boys,Biography Comedy Drama Rosie PerezAdam Garcia Alissa Dean riding in cars with boys Penny Marshall
Andrei Tarkovsky,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk,Drama Mystery Sci-Fi,solaris,Drama Mystery Sci-Fi Donatas BanionisAnatoliy Solonitsyn Natalya Bondarchuk solaris Andrei Tarkovsky
Paul Bolger,Sarah Michelle Gellar,George Carlin,Rob Paulsen,Adventure Animation Comedy Family Fantasy,happily n'ever after,Adventure Animation Comedy Family Fantasy Sarah Michelle GellarGeorge Carlin Rob Paulsen happily n'ever after Paul Bolger
Stephen Frears,Julia Roberts,Bronagh Gallagher,George Cole,Drama Horror Romance Thriller,mary reilly,Drama Horror Romance Thriller Julia RobertsBronagh Gallagher George Cole mary reilly Stephen Frears
P.J. Hogan,Julia Roberts,Christopher Masterson,Rupert Everett,Comedy Romance,my best friend's wedding,Comedy Romance Julia RobertsChristopher Masterson Rupert Everett my best friend's wedding P.J. Hogan
Joe Roth,Julia Roberts,Rainn Wilson,Larry King,Comedy Romance,america's sweethearts,Comedy Romance Julia RobertsRainn Wilson Larry King america's sweethearts Joe Roth
Christopher Nolan,Al Pacino,Maura Tierney,Crystal Lowe,Drama Mystery Thriller,insomnia,Drama Mystery Thriller Al PacinoMaura Tierney Crystal Lowe insomnia Christopher Nolan
Jonathan Frakes,LeVar Burton,Alfre Woodard,Jonathan Frakes,Action Adventure Drama Sci-Fi Thriller,star trek: first contact,Action Adventure Drama Sci-Fi Thriller LeVar BurtonAlfre Woodard Jonathan Frakes star trek: first contact Jonathan Frakes
Jimmy Hayward,Michael Fassbender,Billy Blair,Julia Jones,Action Drama Fantasy Thriller Western,jonah hex,Action Drama Fantasy Thriller Western Michael FassbenderBilly Blair Julia Jones jonah hex Jimmy Hayward
Edward Zwick,Denzel Washington,Matt Damon,Scott Glenn,Action Drama Mystery Thriller War,courage under fire,Action Drama Mystery Thriller War Denzel WashingtonMatt Damon Scott Glenn courage under fire Edward Zwick
Tom Shadyac,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,Comedy Fantasy Romance,liar liar,Comedy Fantasy Romance Maura TierneySwoosie Kurtz Randall 'Tex' Cobb liar liar Tom Shadyac
Brad Furman,Joseph Gilgun,Amy Ryan,Olympia Dukakis,Biography Crime Drama Thriller,the infiltrator,Biography Crime Drama Thriller Joseph GilgunAmy Ryan Olympia Dukakis the infiltrator Brad Furman
Terence Young,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,Drama History War,inchon,Drama History War Laurence OlivierBen Gazzara Jacqueline Bisset inchon Terence Young
Brian Levant,Jonathan Winters,Elizabeth Perkins,Harvey Korman,Comedy Family Fantasy,the flintstones,Comedy Family Fantasy Jonathan WintersElizabeth Perkins Harvey Korman the flintstones Brian Levant
Olivier Megaton,Liam Neeson,Luke Grimes,D.B. Sweeney,Action Crime Thriller,taken 2,Action Crime Thriller Liam NeesonLuke Grimes D.B. Sweeney taken 2 Olivier Megaton
David Zucker,Regina Hall,Pamela Anderson,Jenny McCarthy,Comedy,scary movie 3,Comedy Regina HallPamela Anderson Jenny McCarthy scary movie 3 David Zucker
Donald Petrie,Candice Bergen,Wendy Raquel Robinson,Heather Burns,Action Comedy Crime Romance,miss congeniality,Action Comedy Crime Romance Candice BergenWendy Raquel Robinson Heather Burns miss congeniality Donald Petrie
Eric Brevig,Josh Hutcherson,Brendan Fraser,Anita Briem,Action Adventure Family Fantasy Sci-Fi,journey to the center of the earth,Action Adventure Family Fantasy Sci-Fi Josh HutchersonBrendan Fraser Anita Briem journey to the center of the earth Eric Brevig
Garry Marshall,Anne Hathaway,Raven-Symoné,Hector Elizondo,Comedy Family Romance,the princess diaries 2: royal engagement,Comedy Family Romance Anne HathawayRaven-Symoné Hector Elizondo the princess diaries 2: royal engagement Garry Marshall
Alan J. Pakula,Denzel Washington,Julia Roberts,Tony Goldwyn,Crime Drama Mystery Thriller,the pelican brief,Crime Drama Mystery Thriller Denzel WashingtonJulia Roberts Tony Goldwyn the pelican brief Alan J. Pakula
Joel Schumacher,Bradley Whitford,Anthony LaPaglia,Brad Renfro,Crime Drama Mystery Thriller,the client,Crime Drama Mystery Thriller Bradley WhitfordAnthony LaPaglia Brad Renfro the client Joel Schumacher
Rob Reiner,Morgan Freeman,Noel Gugliemi,Sean Hayes,Adventure Comedy Drama,the bucket list,Adventure Comedy Drama Morgan FreemanNoel Gugliemi Sean Hayes the bucket list Rob Reiner
Phillip Noyce,Harrison Ford,Polly Walker,Patrick Bergin,Action Thriller,patriot games,Action Thriller Harrison FordPolly Walker Patrick Bergin patriot games Phillip Noyce
Robert Luketic,Adam Scott,Jane Fonda,Elaine Stritch,Comedy Romance,monster-in-law,Comedy Romance Adam ScottJane Fonda Elaine Stritch monster-in-law Robert Luketic
Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Crime Drama Mystery Thriller,prisoners,Crime Drama Mystery Thriller Hugh JackmanJake Gyllenhaal Dylan Minnette prisoners Denis Villeneuve
Antoine Fuqua,Denzel Washington,Snoop Dogg,Tom Berenger,Crime Drama Thriller,training day,Crime Drama Thriller Denzel WashingtonSnoop Dogg Tom Berenger training day Antoine Fuqua
Dean Parisot,Alan Rickman,Enrico Colantoni,Robin Sachs,Adventure Comedy Sci-Fi,galaxy quest,Adventure Comedy Sci-Fi Alan RickmanEnrico Colantoni Robin Sachs galaxy quest Dean Parisot
Keenen Ivory Wayans,Natasha Lyonne,Veronica Cartwright,Andy Richter,Comedy,scary movie 2,Comedy Natasha LyonneVeronica Cartwright Andy Richter scary movie 2 Keenen Ivory Wayans
James Bobin,Bill Cobbs,Eric Jacobson,Steve Whitmire,Adventure Comedy Family Musical,the muppets,Adventure Comedy Family Musical Bill CobbsEric Jacobson Steve Whitmire the muppets James Bobin
Stephen Norrington,Sanaa Lathan,Traci Lords,Udo Kier,Action Horror,blade,Action Horror Sanaa LathanTraci Lords Udo Kier blade Stephen Norrington
Thomas Carter,Channing Tatum,Rick Gonzalez,Robert Ri'chard,Drama Sport,coach carter,Drama Sport Channing TatumRick Gonzalez Robert Ri'chard coach carter Thomas Carter
Roger Michell,Sydney Pollack,Matt Malloy,Bruce Altman,Drama Thriller,changing lanes,Drama Thriller Sydney PollackMatt Malloy Bruce Altman changing lanes Roger Michell
Luis Llosa,Frank Welker,Eric Stoltz,Kari Wuhrer,Action Adventure Horror Thriller,anaconda,Action Adventure Horror Thriller Frank WelkerEric Stoltz Kari Wuhrer anaconda Luis Llosa
David McNally,Adam Garcia,Tyra Banks,Izabella Miko,Comedy Drama Music Romance,coyote ugly,Comedy Drama Music Romance Adam GarciaTyra Banks Izabella Miko coyote ugly David McNally
Richard Curtis,Colin Firth,Liam Neeson,Kris Marshall,Comedy Drama Romance,love actually,Comedy Drama Romance Colin FirthLiam Neeson Kris Marshall love actually Richard Curtis
John Lasseter,Kevin Spacey,Madeline Kahn,John Ratzenberger,Adventure Animation Comedy Family Fantasy,a bug's life,Adventure Animation Comedy Family Fantasy Kevin SpaceyMadeline Kahn John Ratzenberger a bug's life John Lasseter
Luis Llosa,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,Action Crime Drama Romance Thriller,the specialist,Action Crime Drama Romance Thriller Sylvester StalloneRod Steiger Emilio Estefan Jr. the specialist Luis Llosa
Ron Shelton,Don Johnson,Cheech Marin,Rene Russo,Comedy Drama Romance Sport,tin cup,Comedy Drama Romance Sport Don JohnsonCheech Marin Rene Russo tin cup Ron Shelton
Melville Shavelson,Lucille Ball,Tom Bosley,Tim Matheson,Comedy Family,"yours, mine and ours","Comedy Family Lucille BallTom Bosley Tim Matheson yours, mine and ours Melville Shavelson"
Jesse Dylan,Josh Hutcherson,Will Ferrell,Robert Duvall,Comedy Family Romance Sport,kicking & screaming,Comedy Family Romance Sport Josh HutchersonWill Ferrell Robert Duvall kicking & screaming Jesse Dylan
Garth Jennings,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,Adventure Comedy Sci-Fi,the hitchhiker's guide to the galaxy,Adventure Comedy Sci-Fi Zooey DeschanelKelly Macdonald Thomas Lennon the hitchhiker's guide to the galaxy Garth Jennings
Joel Zwick,Dania Ramirez,Nick Zano,Alice Greczyn,Comedy Family Fantasy Romance,fat albert,Comedy Family Fantasy Romance Dania RamirezNick Zano Alice Greczyn fat albert Joel Zwick
Russell Mulcahy,Milla Jovovich,Mike Epps,James Tumminia,Action Horror Sci-Fi Thriller,resident evil: extinction,Action Horror Sci-Fi Thriller Milla JovovichMike Epps James Tumminia resident evil: extinction Russell Mulcahy
Frank Coraci,Bella Thorne,Adam Sandler,Joel McHale,Comedy Romance,blended,Comedy Romance Bella ThorneAdam Sandler Joel McHale blended Frank Coraci
Wayne Wang,LL Cool J,Alicia Witt,Timothy Hutton,Adventure Comedy Drama,last holiday,Adventure Comedy Drama LL Cool JAlicia Witt Timothy Hutton last holiday Wayne Wang
Curtis Hanson,Meryl Streep,Glenn Morshower,William Lucking,Action Adventure Crime Thriller,the river wild,Action Adventure Crime Thriller Meryl StreepGlenn Morshower William Lucking the river wild Curtis Hanson
Frank Oz,Steve Coogan,Vincent Kartheiser,David Keith,Drama Family Fantasy,the indian in the cupboard,Drama Family Fantasy Steve CooganVincent Kartheiser David Keith the indian in the cupboard Frank Oz
Oliver Stone,Demián Bichir,Shea Whigham,Gary Stretch,Crime Drama Thriller,savages,Crime Drama Thriller Demián BichirShea Whigham Gary Stretch savages Oliver Stone
David R. Ellis,Richard Burgi,Valerie Cruz,Will Beinbrink,Action Crime Thriller,cellular,Action Crime Thriller Richard BurgiValerie Cruz Will Beinbrink cellular David R. Ellis
Peter Howitt,Kevin McNally,Natalie Imbruglia,Ben Miller,Action Adventure Comedy,johnny english,Action Adventure Comedy Kevin McNallyNatalie Imbruglia Ben Miller johnny english Peter Howitt
John A. Davis,Nicolas Cage,Meryl Streep,Julia Roberts,Adventure Animation Comedy Family Fantasy,the ant bully,Adventure Animation Comedy Family Fantasy Nicolas CageMeryl Streep Julia Roberts the ant bully John A. Davis
David Lynch,Virginia Madsen,Jürgen Prochnow,José Ferrer,Action Adventure Sci-Fi,dune,Action Adventure Sci-Fi Virginia MadsenJürgen Prochnow José Ferrer dune David Lynch
Sam Mendes,Leonardo DiCaprio,Kate Winslet,Joe Komara,Drama Romance,revolutionary road,Drama Romance Leonardo DiCaprioKate Winslet Joe Komara revolutionary road Sam Mendes
Richard Donner,Bruce Willis,David Zayas,Sasha Roiz,Action Crime Drama Thriller,16 blocks,Action Crime Drama Thriller Bruce WillisDavid Zayas Sasha Roiz 16 blocks Richard Donner
Mathieu Kassovitz,Vin Diesel,Charlotte Rampling,David Belle,Action Adventure Sci-Fi Thriller,babylon a.d.,Action Adventure Sci-Fi Thriller Vin DieselCharlotte Rampling David Belle babylon a.d. Mathieu Kassovitz
John Gray,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,Action Comedy Crime Drama Thriller,the glimmer man,Action Comedy Crime Drama Thriller Alexa PenaVegaBob Gunton Keenen Ivory Wayans the glimmer man John Gray
Harold Ramis,John de Lancie,Brian Doyle-Murray,Obba Babatundé,Comedy Romance Sci-Fi,multiplicity,Comedy Romance Sci-Fi John de LancieBrian Doyle-Murray Obba Babatundé multiplicity Harold Ramis
John Schultz,Malese Jow,Carter Jenkins,Tim Meadows,Adventure Comedy Family Fantasy Sci-Fi,aliens in the attic,Adventure Comedy Family Fantasy Sci-Fi Malese JowCarter Jenkins Tim Meadows aliens in the attic John Schultz
Sean Penn,Costas Mandylor,Adrien Dorval,Nels Lennarson,Crime Drama Mystery Thriller,the pledge,Crime Drama Mystery Thriller Costas MandylorAdrien Dorval Nels Lennarson the pledge Sean Penn
Susan Stroman,Jon Lovitz,Will Ferrell,Matthew Broderick,Comedy Musical,the producers,Comedy Musical Jon LovitzWill Ferrell Matthew Broderick the producers Susan Stroman
Pete Travis,Wood Harris,Jason Cope,Rakie Ayola,Action Sci-Fi,dredd,Action Sci-Fi Wood HarrisJason Cope Rakie Ayola dredd Pete Travis
Simon Wincer,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,Action Adventure Comedy Fantasy,the phantom,Action Adventure Comedy Fantasy Cary-Hiroyuki TagawaTreat Williams Kristy Swanson the phantom Simon Wincer
Billy Bob Thornton,Matt Damon,Henry Thomas,Sam Shepard,Drama Romance Western,all the pretty horses,Drama Romance Western Matt DamonHenry Thomas Sam Shepard all the pretty horses Billy Bob Thornton
Oliver Stone,Anthony Hopkins,Bob Hoskins,Joan Allen,Biography Drama History,nixon,Biography Drama History Anthony HopkinsBob Hoskins Joan Allen nixon Oliver Stone
Roman Polanski,Jim Belushi,Olivia Williams,Timothy Hutton,Mystery Thriller,the ghost writer,Mystery Thriller Jim BelushiOlivia Williams Timothy Hutton the ghost writer Roman Polanski
Stephen Sommers,Djimon Hounsou,Jason Flemyng,Wes Studi,Action Adventure Horror Sci-Fi,deep rising,Action Adventure Horror Sci-Fi Djimon HounsouJason Flemyng Wes Studi deep rising Stephen Sommers
Spike Lee,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,Action Crime Drama Thriller War,miracle at st. anna,Action Crime Drama Thriller War Joseph Gordon-LevittOmari Hardwick Laz Alonso miracle at st. anna Spike Lee
Yimou Zhang,Li Gong,Ye Liu,Man Li,Drama Romance,curse of the golden flower,Drama Romance Li GongYe Liu Man Li curse of the golden flower Yimou Zhang
Danny Pang,Nicolas Cage,Charlie Yeung,James With,Action Crime Thriller,bangkok dangerous,Action Crime Thriller Nicolas CageCharlie Yeung James With bangkok dangerous Danny Pang
Barry Sonnenfeld,Zooey Deschanel,Janeane Garofalo,Omar Epps,Comedy Crime Thriller,big trouble,Comedy Crime Thriller Zooey DeschanelJaneane Garofalo Omar Epps big trouble Barry Sonnenfeld
Mike Newell,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,Drama Romance,love in the time of cholera,Drama Romance Marcela MarGiovanna Mezzogiorno Unax Ugalde love in the time of cholera Mike Newell
unknown,Pierre Perrier,Clotilde Hesme,Céline Sallette,Drama Fantasy Horror Mystery,the returned            ,Drama Fantasy Horror Mystery Pierre PerrierClotilde Hesme Céline Sallette the returned             unknown
George P. Cosmatos,Sam Waterston,Ben Gazzara,Nicholas Turturro,Action Thriller,shadow conspiracy,Action Thriller Sam WaterstonBen Gazzara Nicholas Turturro shadow conspiracy George P. Cosmatos
Oliver Parker,Daniel Kaluuya,Tim McInnerny,Togo Igawa,Action Adventure Comedy Crime,johnny english reborn,Action Adventure Comedy Crime Daniel KaluuyaTim McInnerny Togo Igawa johnny english reborn Oliver Parker
Lawrence Kasanoff,Jerry Stiller,Larry Miller,Harvey Fierstein,Action Animation Comedy Family Fantasy,foodfight!,Action Animation Comedy Family Fantasy Jerry StillerLarry Miller Harvey Fierstein foodfight! Lawrence Kasanoff
Ben Affleck,Clea DuVall,Scoot McNairy,Tate Donovan,Biography Drama History Thriller,argo,Biography Drama History Thriller Clea DuVallScoot McNairy Tate Donovan argo Ben Affleck
Andrew Davis,Harrison Ford,Daniel Roebuck,Sela Ward,Action Adventure Crime Drama Mystery Thriller,the fugitive,Action Adventure Crime Drama Mystery Thriller Harrison FordDaniel Roebuck Sela Ward the fugitive Andrew Davis
Andy Tennant,Gerard Butler,Dorian Missick,Peter Greene,Action Comedy Romance,the bounty hunter,Action Comedy Romance Gerard ButlerDorian Missick Peter Greene the bounty hunter Andy Tennant
Barry Levinson,Robert De Niro,Brad Pitt,Minnie Driver,Crime Drama Thriller,sleepers,Crime Drama Thriller Robert De NiroBrad Pitt Minnie Driver sleepers Barry Levinson
George P. Cosmatos,Sylvester Stallone,Julia Nickson,Martin Kove,Action Adventure Thriller War,rambo: first blood part ii,Action Adventure Thriller War Sylvester StalloneJulia Nickson Martin Kove rambo: first blood part ii George P. Cosmatos
Brian Gibson,Joseph Gordon-Levitt,Demi Moore,Anne Heche,Drama Thriller,the juror,Drama Thriller Joseph Gordon-LevittDemi Moore Anne Heche the juror Brian Gibson
Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,Animation Family Fantasy Musical,pinocchio,Animation Family Fantasy Musical Mel BlancDickie Jones Cliff Edwards pinocchio Norman Ferguson
Michael Cimino,Jeff Bridges,Sam Waterston,Isabelle Huppert,Adventure Drama Western,heaven's gate,Adventure Drama Western Jeff BridgesSam Waterston Isabelle Huppert heaven's gate Michael Cimino
Len Wiseman,Sophia Myles,Tony Curran,Derek Jacobi,Action Adventure Fantasy Sci-Fi Thriller,underworld: evolution,Action Adventure Fantasy Sci-Fi Thriller Sophia MylesTony Curran Derek Jacobi underworld: evolution Len Wiseman
Gus Van Sant,F. Murray Abraham,Rob Brown,Michael Nouri,Drama,finding forrester,Drama F. Murray AbrahamRob Brown Michael Nouri finding forrester Gus Van Sant
Betty Thomas,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,Comedy Drama,28 days,Comedy Drama Steve BuscemiViggo Mortensen Elizabeth Perkins 28 days Betty Thomas
Louis Leterrier,Morgan Freeman,Jet Li,Bob Hoskins,Action Crime Drama Thriller,unleashed,Action Crime Drama Thriller Morgan FreemanJet Li Bob Hoskins unleashed Louis Leterrier
Roger Kumble,Judith Chapman,Lillian Adams,Chelsea Bond,Comedy Romance,the sweetest thing,Comedy Romance Judith ChapmanLillian Adams Chelsea Bond the sweetest thing Roger Kumble
Sydney Pollack,Tom Cruise,Holly Hunter,Wilford Brimley,Drama Mystery Thriller,the firm,Drama Mystery Thriller Tom CruiseHolly Hunter Wilford Brimley the firm Sydney Pollack
Burr Steers,Augustus Prew,Charlie Tahan,Valerie Tian,Drama Fantasy Romance,charlie st. cloud,Drama Fantasy Romance Augustus PrewCharlie Tahan Valerie Tian charlie st. cloud Burr Steers
Simon West,Jason Statham,Tony Goldwyn,Mini Anden,Action Crime Thriller,the mechanic,Action Crime Thriller Jason StathamTony Goldwyn Mini Anden the mechanic Simon West
Phil Lord,Channing Tatum,Dax Flame,Rob Riggle,Action Comedy Crime,21 jump street,Action Comedy Crime Channing TatumDax Flame Rob Riggle 21 jump street Phil Lord
Roger Michell,Julia Roberts,Clarke Peters,Dylan Moran,Comedy Drama Romance,notting hill,Comedy Drama Romance Julia RobertsClarke Peters Dylan Moran notting hill Roger Michell
Peter Lord,Imelda Staunton,Miranda Richardson,Julia Sawalha,Adventure Animation Comedy Drama Family,chicken run,Adventure Animation Comedy Drama Family Imelda StauntonMiranda Richardson Julia Sawalha chicken run Peter Lord
John Hamburg,Philip Seymour Hoffman,Masi Oka,Debra Messing,Comedy Romance,along came polly,Comedy Romance Philip Seymour HoffmanMasi Oka Debra Messing along came polly John Hamburg
Reginald Hudlin,John Witherspoon,Eartha Kitt,Geoffrey Holder,Comedy Drama Romance,boomerang,Comedy Drama Romance John WitherspoonEartha Kitt Geoffrey Holder boomerang Reginald Hudlin
Paul Feig,Michael Rapaport,William Xifaras,Demián Bichir,Action Comedy Crime,the heat,Action Comedy Crime Michael RapaportWilliam Xifaras Demián Bichir the heat Paul Feig
Joseph L. Mankiewicz,Martin Landau,Richard Burton,Roddy McDowall,Biography Drama History Romance,cleopatra,Biography Drama History Romance Martin LandauRichard Burton Roddy McDowall cleopatra Joseph L. Mankiewicz
Frank Coraci,Salma Hayek,Reggie Lee,Charice,Action Comedy Sport,here comes the boom,Action Comedy Sport Salma HayekReggie Lee Charice here comes the boom Frank Coraci
Carl Franklin,Morgan Freeman,Adam Scott,Bruce Davison,Crime Drama Mystery Thriller,high crimes,Crime Drama Mystery Thriller Morgan FreemanAdam Scott Bruce Davison high crimes Carl Franklin
Barbra Streisand,Jeff Bridges,Austin Pendleton,Mimi Rogers,Comedy Drama Romance,the mirror has two faces,Comedy Drama Romance Jeff BridgesAustin Pendleton Mimi Rogers the mirror has two faces Barbra Streisand
Mark Pellington,Debra Messing,Will Patton,David Eigenberg,Drama Horror Mystery Thriller,the mothman prophecies,Drama Horror Mystery Thriller Debra MessingWill Patton David Eigenberg the mothman prophecies Mark Pellington
Larry Charles,Bono,Elton John,Slash,Comedy,brüno,Comedy BonoElton John Slash brüno Larry Charles
John Glen,Robert Davi,Talisa Soto,Anthony Zerbe,Action Adventure Thriller,licence to kill,Action Adventure Thriller Robert DaviTalisa Soto Anthony Zerbe licence to kill John Glen
Catherine Hardwicke,Gary Oldman,Billy Burke,Virginia Madsen,Fantasy Horror Mystery Thriller,red riding hood,Fantasy Horror Mystery Thriller Gary OldmanBilly Burke Virginia Madsen red riding hood Catherine Hardwicke
John Herzfeld,Robert De Niro,Charlize Theron,Kelsey Grammer,Action Crime Drama Thriller,15 minutes,Action Crime Drama Thriller Robert De NiroCharlize Theron Kelsey Grammer 15 minutes John Herzfeld
Annabel Jankel,Bob Hoskins,Fisher Stevens,Fiona Shaw,Adventure Comedy Family Fantasy Sci-Fi,super mario bros.,Adventure Comedy Family Fantasy Sci-Fi Bob HoskinsFisher Stevens Fiona Shaw super mario bros. Annabel Jankel
Andrew Niccol,Nicolas Cage,Jeremy Crutchley,Jared Burke,Crime Drama Thriller,lord of war,Crime Drama Thriller Nicolas CageJeremy Crutchley Jared Burke lord of war Andrew Niccol
Julie Anne Robinson,Fisher Stevens,Debbie Reynolds,Patrick Fischler,Action Comedy Crime Romance Thriller,one for the money,Action Comedy Crime Romance Thriller Fisher StevensDebbie Reynolds Patrick Fischler one for the money Julie Anne Robinson
Evan Goldberg,James Franco,Randall Park,Anders Holm,Comedy,the interview,Comedy James FrancoRandall Park Anders Holm the interview Evan Goldberg
Sngmoo Lee,Tony Cox,Dong-gun Jang,Jed Brophy,Action Fantasy Western,the warrior's way,Action Fantasy Western Tony CoxDong-gun Jang Jed Brophy the warrior's way Sngmoo Lee
unknown,Tim Conway,Gavin MacLeod,Bob Hastings,Comedy War,mchale's navy            ,Comedy War Tim ConwayGavin MacLeod Bob Hastings mchale's navy             unknown
Jean-Pierre Jeunet,Omar Sy,Dany Boon,André Dussollier,Action Comedy Crime,micmacs,Action Comedy Crime Omar SyDany Boon André Dussollier micmacs Jean-Pierre Jeunet
Curtis Hanson,Mekhi Phifer,Omar Benson Miller,Evan Jones,Drama Music,8 mile,Drama Music Mekhi PhiferOmar Benson Miller Evan Jones 8 mile Curtis Hanson
Jamel Debbouze,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,Adventure Animation Comedy Family,animal kingdom: let's go ape,Adventure Animation Comedy Family Jamel DebbouzeYoussef Hajdi Mélissa Theuriau animal kingdom: let's go ape Jamel Debbouze
Brian Helgeland,Heath Ledger,Rufus Sewell,Bérénice Bejo,Action Adventure Romance,a knight's tale,Action Adventure Romance Heath LedgerRufus Sewell Bérénice Bejo a knight's tale Brian Helgeland
Gordon Chan,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,Action Comedy Fantasy,the medallion,Action Comedy Fantasy Julian SandsLee Evans Anthony Chau-Sang Wong the medallion Gordon Chan
M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Olivia Williams,Drama Mystery Thriller,the sixth sense,Drama Mystery Thriller Bruce WillisHaley Joel Osment Olivia Williams the sixth sense M. Night Shyamalan
Asger Leth,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Action Crime Thriller,man on a ledge,Action Crime Thriller Robert ClohessyMandy Gonzalez J. Smith-Cameron man on a ledge Asger Leth
